Threshold,Accuracy,Precision,Recall,F1-score,True Positives,False Negatives,False Positives,True Negatives,Evaluation_Split
0.54,0.8669435903500473,0.6117151876534549,0.12335113342999611,0.20530327555254715,3488,24789,2214,172453,Development OOF
0.55,0.8665937401450646,0.6156508363776196,0.11323690631962373,0.19128980225819942,3202,25075,1999,172668,Development OOF
0.56,0.8665691028066856,0.6266920473773265,0.10478480744067617,0.17954855324950766,2963,25314,1765,172902,Development OOF
0.57,0.8663720040996531,0.6342141863699583,0.09675708172719878,0.1678991132521248,2736,25541,1578,173089,Development OOF
0.58,0.8660369362976978,0.6398870636550308,0.08816352512642783,0.15497466820004352,2493,25784,1403,173264,Development OOF
0.59,0.8657560706401766,0.6477825464949929,0.08006507055203876,0.1425154223844895,2264,26013,1231,173436,Development OOF
0.6,0.8654259303058972,0.6529449018366055,0.07292145559995757,0.13119134722443138,2062,26215,1096,173571,Development OOF
0.61,0.8651302822453485,0.6617857142857143,0.06553028963468543,0.11925218006886122,1853,26424,947,173720,Development OOF
0.62,0.8648346341847998,0.6719512195121952,0.05845740354351593,0.10755766665582198,1653,26624,807,173860,Development OOF
0.63,0.8644453642384106,0.6755148741418764,0.05219789935283092,0.09690762261177861,1476,26801,709,173958,Development OOF
0.64,0.8642285556606749,0.6891679748822606,0.04657495491035117,0.08725321319729694,1317,26960,594,174073,Development OOF
0.65,0.8639181251970987,0.6964285714285714,0.04137638363334158,0.07811196047668324,1170,27107,510,174157,Development OOF
0.66,0.8635239277830338,0.6972789115646258,0.0362485412172437,0.06891451238780381,1025,27252,445,174222,Development OOF
0.67,0.8632874093345948,0.7062015503875969,0.03221699614527708,0.061622755098589645,911,27366,379,174288,Development OOF
0.68,0.8630262535477767,0.7110132158590309,0.028539095377868938,0.05487556099551204,807,27470,328,174339,Development OOF
0.69,0.8628636471144749,0.7221115537848606,0.025639212080489443,0.049520166660974696,725,27552,279,174388,Development OOF
0.7,0.8626862582781457,0.7400468384074942,0.022350320048095625,0.0433902028766606,632,27645,222,174445,Development OOF
0.71,0.8624349574266793,0.7469050894085282,0.019202885737525197,0.037443111294993794,543,27734,184,174483,Development OOF
0.72,0.8621491643014821,0.7455138662316476,0.01616154471832231,0.03163724472135687,457,27820,156,174511,Development OOF
0.73,0.8619126458530432,0.7428023032629558,0.013686034586412986,0.026876866449058963,387,27890,134,174533,Development OOF
0.74,0.8616958372753075,0.7424593967517401,0.011316617745871203,0.02229343736937439,320,27957,111,174556,Development OOF
0.75,0.8615233759066541,0.7443820224719101,0.009371574070799589,0.018510110711416897,265,28012,91,174576,Development OOF
0.76,0.8613755518763797,0.7686567164179104,0.007285072673904587,0.014433350849535821,206,28071,62,174605,Development OOF
0.77,0.861262220119836,0.7788018433179723,0.005976588747038229,0.0118621464167895,169,28108,48,174619,Development OOF
0.78,0.8610897587511825,0.76875,0.004349824946069243,0.008650701550796497,123,28154,37,174630,Development OOF
0.79,0.8609714995269631,0.7421875,0.003359620893305513,0.006688963210702341,95,28182,33,174634,Development OOF
0.8,0.8608581677704195,0.7052631578947368,0.002369416840541783,0.004722966304807557,67,28210,28,174639,Development OOF
0.81,0.8607990381583097,0.6956521739130435,0.0016974926618806804,0.0033867212305087138,48,28229,21,174646,Development OOF
0.82,0.8607842557552823,0.7608695652173914,0.0012377550659546628,0.002471489602090174,35,28242,11,174656,Development OOF
0.83,0.8607694733522548,0.7837837837837838,0.0010255684832195778,0.002048456593911139,29,28248,8,174659,Development OOF
0.84,0.8607448360138757,0.7857142857142857,0.0007780174700286452,0.001554495672142731,22,28255,6,174661,Development OOF
0.85,0.8607300536108483,0.8095238095238095,0.0006011953177494076,0.0012014983391052372,17,28260,4,174663,Development OOF
0.86,0.8606906338694418,0.6923076923076923,0.00031827987410262755,0.0006362672322375398,9,28268,4,174663,Development OOF
0.87,0.8606906338694418,0.7272727272727273,0.0002829154436467801,0.0005656108597285068,8,28269,3,174664,Development OOF
0.88,0.860685706401766,0.7,0.00024755101319093255,0.0004949269982677555,7,28270,3,174664,Development OOF
0.89,0.8606709239987386,0.6666666666666666,7.072886091169502e-05,0.00014144271570014144,2,28275,1,174666,Development OOF
0.9,0.8606709239987386,0.6666666666666666,7.072886091169502e-05,0.00014144271570014144,2,28275,1,174666,Development OOF
0.91,0.8606659965310628,0.5,3.536443045584751e-05,7.072385869373033e-05,1,28276,1,174666,Development OOF
0.92,0.8606659965310628,0.5,3.536443045584751e-05,7.072385869373033e-05,1,28276,1,174666,Development OOF
0.93,0.8606610690633869,0.0,0.0,0.0,0,28277,1,174666,Development OOF
0.94,0.8606610690633869,0.0,0.0,0.0,0,28277,1,174666,Development OOF
0.95,0.8606659965310628,0.0,0.0,0.0,0,28277,0,174667,Development OOF
0.96,0.8606659965310628,0.0,0.0,0.0,0,28277,0,174667,Development OOF
0.97,0.8606659965310628,0.0,0.0,0.0,0,28277,0,174667,Development OOF
0.98,0.8606659965310628,0.0,0.0,0.0,0,28277,0,174667,Development OOF
0.99,0.8606659965310628,0.0,0.0,0.0,0,28277,0,174667,Development OOF
